title,short_title,link,price,oldprice,reviews
"SanDisk 256GB Extreme microSDXC card + SD adapter + RescuePRO Deluxe, up to 190MB/s, with A2 App Performance, UHS-I, Class 10, U3, V30, Black",SanDisk 256GB Extreme mic,https://www.amazon.co.uk//SanDisk-Extreme-microSDXC-RescuePRO-Performance/dp/B09X7CRKRZ/ref=sr_1_1?keywords=ssd+card&psr=EY17&qid=1687594686&s=black-friday&sr=1-1,none,none,0
"Lexar Professional 1667x 128GB SDXC UHS-II Card, Up To 250MB/s Read, for Professional Photographer, Videographer, Enthusiast (LSD128CBNA1667)",Lexar Professional 1667x ,https://www.amazon.co.uk//Lexar-Professional-1667x-UHS-II-LSD128CBNA1667/dp/B07NLY7N7L/ref=sr_1_2?keywords=ssd+card&psr=EY17&qid=1687594686&s=black-friday&sr=1-2,none,none,£38.62
SanDisk 1TB Ultra microSDXC card + SD adapter up to 150 MB/s with A1 App Performance UHS-I Class 10 U1,SanDisk 1TB Ultra microSD,https://www.amazon.co.uk//SanDisk-Ultra-microSDXC-adapter-Performance/dp/B0B7NYN3N3/ref=sr_1_3?keywords=ssd+card&psr=EY17&qid=1687594686&s=black-friday&sr=1-3,none,none,0
"PNY 512GB Premier-X Class 10 U3 V30 microSDXC Flash Memory Card, Micro SSD Card 512gb Plus Free Card Adapter and Card Reader.",PNY 512GB Premier-X Class,https://www.amazon.co.uk//Premier-X-microSDXC-Memory-Adapter-Reader/dp/B0C1TS5QJP/ref=sr_1_4?keywords=ssd+card&psr=EY17&qid=1687594686&s=black-friday&sr=1-4,none,none,£42.19
SanDisk Ultra 128GB microSDXC UHS-I Card for Chromebook with SD Adapter and up to 140MB/s transfer speed,SanDisk Ultra 128GB micro,https://www.amazon.co.uk//SanDisk-microSDXC-Chromebook-Adapter-transfer/dp/B0BFH76ZCX/ref=sr_1_5?keywords=ssd+card&psr=EY17&qid=1687594686&s=black-friday&sr=1-5,none,none,0
SanDisk 128GB Extreme SDXC card + RescuePro Deluxe up to 180 MB/s UHS-I Class 10 U3 V30,SanDisk 128GB Extreme SDX,https://www.amazon.co.uk//SanDisk-128GB-Extreme-RescuePRO-Deluxe/dp/B09X7DZ9LG/ref=sr_1_6?keywords=ssd+card&psr=EY17&qid=1687594686&s=black-friday&sr=1-6,none,none,0
"Integral 64GB SD Card 4K Ultra-HD Video High Speed SDXC V30 UHS-I U3 Class 10 Memory Card up to 100MB/s, Color May Vary",Integral 64GB SD Card 4K ,https://www.amazon.co.uk//Ultra-HD-Video-Premium-Memory-Integral/dp/B07FB7NQF7/ref=sr_1_7?keywords=ssd+card&psr=EY17&qid=1687594686&s=black-friday&sr=1-7,none,none,0
Kingston SDG3/256GB SD Card (256GB SDXC Canvas Go Plus 170R C10 UHS-I U3 V30 ),Kingston SDG3/256GB SD Ca,https://www.amazon.co.uk//Kingston-SDG3-256GB-Canvas-UHS-I/dp/B0858J45S6/ref=sr_1_8?keywords=ssd+card&psr=EY17&qid=1687594686&s=black-friday&sr=1-8,none,none,0
Integral 256GB Micro SD Card 4K Video Premium High Speed Memory Card SDXC Up to 100MB s Read Speed and 50MB s Write speed V30 C10 U3 UHS-I A1,Integral 256GB Micro SD C,https://www.amazon.co.uk//Ultra-HD-Premium-memory-microSDXC-Integral/dp/B07FC7W2G5/ref=sr_1_9?keywords=ssd+card&psr=EY17&qid=1687594686&s=black-friday&sr=1-9,none,none,0
Kingston Canvas Select Plus microSD Card SDCS2/256 GB Class 10 (SD Adapter Included),Kingston Canvas Select Pl,https://www.amazon.co.uk//Kingston-microSD-SDCS2-Adapter-Included/dp/B07YGYQNNF/ref=sr_1_10?keywords=ssd+card&psr=EY17&qid=1687594686&s=black-friday&sr=1-10,none,none,0
"SanDisk Extreme Pro 128GB microSDXC Memory Card + SD Adapter with A2 App Performance + Rescue Pro Deluxe 170MB/s Class 10, UHS-I, U3, V30",SanDisk Extreme Pro 128GB,https://www.amazon.co.uk//SanDisk-Extreme-microSDXC-Adapter-Performance/dp/B07G3H5RBT/ref=sr_1_11?keywords=ssd+card&psr=EY17&qid=1687594686&s=black-friday&sr=1-11,none,none,0
