title,short_title,link,saleprice,oldprice,reviews,percentoff
"SanDisk 256GB Extreme microSDXC card + SD adapter + RescuePRO Deluxe, up to 190MB/s, with A2 App Performance, UHS-I, Class 10, U3, V30, Black",SanDisk 256GB Extreme mic,/SanDisk-Extreme-microSDXC-RescuePRO-Performance/dp/B09X7CRKRZ/ref=sr_1_1?keywords=ssd+card&psr=EY17&qid=1687596167&s=black-friday&sr=1-1,1.0,1.0,0.0,0.0
"Lexar Professional 1667x 128GB SDXC UHS-II Card, Up To 250MB/s Read, for Professional Photographer, Videographer, Enthusiast (LSD128CBNA1667)",Lexar Professional 1667x ,/Lexar-Professional-1667x-UHS-II-LSD128CBNA1667/dp/B07NLY7N7L/ref=sr_1_2?keywords=ssd+card&psr=EY17&qid=1687596167&s=black-friday&sr=1-2,38.62,38.62,0.0,0.0
Kingston SDS2/32GB Canvas Select Plus SD Card Class 10 UHS-I,Kingston SDS2/32GB Canvas,/Kingston-SDS2-32GB-Canvas-Select/dp/B07YGZHSDB/ref=sr_1_23?keywords=ssd+card&psr=EY17&qid=1687596167&s=black-friday&sr=1-23,1.0,1.0,0.0,0.0
"SanDisk Extreme PRO 256GB SDXC Memory Card up to 170MB/s, UHS-1, Class 10, U3, V30, Black",SanDisk Extreme PRO 256GB,/SanDisk-Extreme-SDXC-Memory-Class/dp/B07H9VX76D/ref=sr_1_22?keywords=ssd+card&psr=EY17&qid=1687596167&s=black-friday&sr=1-22,1.0,1.0,0.0,0.0
SanDisk Extreme 128GB UHS-I microSDXC card + SD adapter + RescuePRO Deluxe with the SanDisk MobileMate UHS-I microSD Reader/Writer,SanDisk Extreme 128GB UHS,/SanDisk-Extreme-microSDXC-RescuePRO-MobileMate/dp/B0BK4GGLYK/ref=sr_1_21?keywords=ssd+card&psr=EY17&qid=1687596167&s=black-friday&sr=1-21,1.0,1.0,3.0,0.0
Kingston SDCX10/128GBSP 128 GB Class 10 Micro SDXC Memory Card without Full Size Adapter,Kingston SDCX10/128GBSP 1,/Kingston-SDCX10-128GBSP-without-Adapter/dp/B00PNS6DZU/ref=sr_1_20?keywords=ssd+card&psr=EY17&qid=1687596167&s=black-friday&sr=1-20,1.0,1.0,204.0,0.0
"SanDisk Extreme 1 TB microSDXC Memory Card + SD Adapter with A2 App Performance + Rescue Pro Deluxe, Up to 160 MB/s, Class 10, UHS-I, U3, V30",SanDisk Extreme 1 TB micr,/SanDisk-Extreme-microSDXC-Adapter-Performance/dp/B07P9W5HJV/ref=sr_1_19?keywords=ssd+card&psr=EY17&qid=1687596167&s=black-friday&sr=1-19,1.0,1.0,0.0,0.0
SanDisk Ultra 64 GB MicroSDXC UHS-I Memory Card with SD Adapter - Standard Packaging,SanDisk Ultra 64 GB Micro,/SanDisk-Ultra-MicroSDXC-Memory-Adapter/dp/B010Q588D4/ref=sr_1_18?keywords=ssd+card&psr=EY17&qid=1687596167&s=black-friday&sr=1-18,14.49,14.49,0.0,0.0
Lerdisk Factory Wholesale Micro SD Card 128MB in Bulk Small Capacity 3-Year Warranty Produced by 3C Group Authorized Licencee Special for Small Files Storage or Company Use,Lerdisk Factory Wholesale,/Lerdisk-Wholesale-Capacity-Produced-Authorized/dp/B09T6LG32W/ref=sr_1_17?keywords=ssd+card&psr=EY17&qid=1687596167&s=black-friday&sr=1-17,1.0,1.0,226.0,0.0
Lerdisk Factory Wholesale 3-Pack Micro SD Card 128MB Class 4 Small Capacity Produced By 3C Group Authorized Licencee (128MB Small Capacity),Lerdisk Factory Wholesale,/Lerdisk-Wholesale-Capacity-Produced-Authorized/dp/B09T37SRL7/ref=sr_1_16?keywords=ssd+card&psr=EY17&qid=1687596167&s=black-friday&sr=1-16,1.0,1.0,0.0,0.0
"SanDisk Ultra 1TB microSDXC Memory Card + SD Adapter with A1 App Performance Up to 120 MB/s, Class 10, U1",SanDisk Ultra 1TB microSD,/SanDisk-microSDXC-Memory-Adapter-Performance/dp/B08HCPTMJG/ref=sr_1_15?keywords=ssd+card&psr=EY17&qid=1687596167&s=black-friday&sr=1-15,1.0,1.0,0.0,0.0
"Transcend 64GB microSDXC 300S Class 10 Memory Card with up to 95/45 MB/s (for Smartphones, Digital Camers and Nintendo Consoles) without SD Adapter TS64GUSD300S",Transcend 64GB microSDXC ,/Transcend-64GB-microSDXC-Class-Memory/dp/B07BSS16NR/ref=sr_1_14?keywords=ssd+card&psr=EY17&qid=1687596167&s=black-friday&sr=1-14,1.0,1.0,0.0,0.0
Team Group 32 GB microSD Memory Card,Team Group 32 GB microSD ,/Team-Group-microSD-Memory-Card/dp/B0050W1YGC/ref=sr_1_13?keywords=ssd+card&psr=EY17&qid=1687596167&s=black-friday&sr=1-13,1.0,1.0,62.0,0.0
512GB Samsung EVO Plus MicroSDXC 130MB/s +Adapter,512GB Samsung EVO Plus Mi,/512GB-Samsung-MicroSDXC-130MB-Adapter/dp/B09DVPZX68/ref=sr_1_12?keywords=ssd+card&psr=EY17&qid=1687596167&s=black-friday&sr=1-12,1.0,1.0,40.0,0.0
"SanDisk Extreme Pro 128GB microSDXC Memory Card + SD Adapter with A2 App Performance + Rescue Pro Deluxe 170MB/s Class 10, UHS-I, U3, V30",SanDisk Extreme Pro 128GB,/SanDisk-Extreme-microSDXC-Adapter-Performance/dp/B07G3H5RBT/ref=sr_1_11?keywords=ssd+card&psr=EY17&qid=1687596167&s=black-friday&sr=1-11,1.0,1.0,0.0,0.0
Kingston Canvas Select Plus microSD Card SDCS2/256 GB Class 10 (SD Adapter Included),Kingston Canvas Select Pl,/Kingston-microSD-SDCS2-Adapter-Included/dp/B07YGYQNNF/ref=sr_1_10?keywords=ssd+card&psr=EY17&qid=1687596167&s=black-friday&sr=1-10,1.0,1.0,0.0,0.0
Integral 256GB Micro SD Card 4K Video Premium High Speed Memory Card SDXC Up to 100MB s Read Speed and 50MB s Write speed V30 C10 U3 UHS-I A1,Integral 256GB Micro SD C,/Ultra-HD-Premium-memory-microSDXC-Integral/dp/B07FC7W2G5/ref=sr_1_9?keywords=ssd+card&psr=EY17&qid=1687596167&s=black-friday&sr=1-9,1.0,1.0,0.0,0.0
Kingston SDG3/256GB SD Card (256GB SDXC Canvas Go Plus 170R C10 UHS-I U3 V30 ),Kingston SDG3/256GB SD Ca,/Kingston-SDG3-256GB-Canvas-UHS-I/dp/B0858J45S6/ref=sr_1_8?keywords=ssd+card&psr=EY17&qid=1687596167&s=black-friday&sr=1-8,1.0,1.0,0.0,0.0
"Integral 64GB SD Card 4K Ultra-HD Video High Speed SDXC V30 UHS-I U3 Class 10 Memory Card up to 100MB/s, Color May Vary",Integral 64GB SD Card 4K ,/Ultra-HD-Video-Premium-Memory-Integral/dp/B07FB7NQF7/ref=sr_1_7?keywords=ssd+card&psr=EY17&qid=1687596167&s=black-friday&sr=1-7,1.0,1.0,0.0,0.0
SanDisk 128GB Extreme SDXC card + RescuePro Deluxe up to 180 MB/s UHS-I Class 10 U3 V30,SanDisk 128GB Extreme SDX,/SanDisk-128GB-Extreme-RescuePRO-Deluxe/dp/B09X7DZ9LG/ref=sr_1_6?keywords=ssd+card&psr=EY17&qid=1687596167&s=black-friday&sr=1-6,1.0,1.0,0.0,0.0
SanDisk Ultra 128GB microSDXC UHS-I Card for Chromebook with SD Adapter and up to 140MB/s transfer speed,SanDisk Ultra 128GB micro,/SanDisk-microSDXC-Chromebook-Adapter-transfer/dp/B0BFH76ZCX/ref=sr_1_5?keywords=ssd+card&psr=EY17&qid=1687596167&s=black-friday&sr=1-5,1.0,1.0,233.0,0.0
"PNY 512GB Premier-X Class 10 U3 V30 microSDXC Flash Memory Card, Micro SSD Card 512gb Plus Free Card Adapter and Card Reader.",PNY 512GB Premier-X Class,/Premier-X-microSDXC-Memory-Adapter-Reader/dp/B0C1TS5QJP/ref=sr_1_4?keywords=ssd+card&psr=EY17&qid=1687596167&s=black-friday&sr=1-4,42.19,42.19,0.0,0.0
SanDisk 1TB Ultra microSDXC card + SD adapter up to 150 MB/s with A1 App Performance UHS-I Class 10 U1,SanDisk 1TB Ultra microSD,/SanDisk-Ultra-microSDXC-adapter-Performance/dp/B0B7NYN3N3/ref=sr_1_3?keywords=ssd+card&psr=EY17&qid=1687596167&s=black-friday&sr=1-3,1.0,1.0,0.0,0.0
Samsung 128GB compatible EVO Plus MicroSDXC 160MB/s +Adapter,Samsung 128GB compatible ,/Samsung-128GB-MicroSDXC-160MB-Adapter/dp/B09D3MQSWR/ref=sr_1_24?keywords=ssd+card&psr=EY17&qid=1687596167&s=black-friday&sr=1-24,1.0,1.0,264.0,0.0
