title,price,available,num_stars
A Light in the Attic,51.77,22,3
Tipping the Velvet,53.74,20,1
Soumission,50.1,20,1
Sharp Objects,47.82,20,4
Sapiens: A Brief History of Humankind,54.23,20,5
The Requiem Red,22.65,19,1
The Dirty Little Secrets of Getting Your Dream Job,33.34,19,4
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,19,3
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,19,4
The Black Maria,52.15,19,1
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,19,2
Shakespeare's Sonnets,20.66,19,4
Set Me Free,17.46,19,5
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,19,5
Rip it Up and Start Again,35.02,19,5
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,19,3
Olio,23.88,19,1
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,19,1
Libertarianism for Beginners,51.33,19,2
It's Only the Himalayas,45.17,19,2
