title,image
Tập 1 – Chương 1: Doremon đã đến với Nobita như thế nào?,"['https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333102-0.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333102-1.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333102-2.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333102-3.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333102-4.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333102-5.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333102-6.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333102-7.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333102-8.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333102-9.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333102-10.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333102-11.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333102-12.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333102-13.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333102-14.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333102-15.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333102-16.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333102-17.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333102-18.jpg']"
Tập 1 – Chương 2: Chạy trời không khỏi nắng,"['https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333103-0.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333103-1.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333103-2.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333103-3.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333103-4.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333103-5.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333103-6.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333103-7.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333103-8.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333103-9.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333103-10.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333103-11.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333103-12.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333103-13.jpg']"
Tập 1 – Chương 3: Bánh quy biến hình,"['https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333104-0.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333104-1.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333104-2.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333104-3.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333104-4.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333104-5.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333104-6.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333104-7.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333104-8.jpg']"
Tập 1 – Chương 4: Câu chuyện cái bình bể,"['https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333105-0.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333105-1.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333105-2.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333105-3.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333105-4.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333105-5.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333105-6.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333105-7.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333105-8.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333105-9.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333105-10.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333105-11.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333105-12.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333105-13.jpg']"
Tập 1 – Chương 5: Ống sáo thần,"['https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333106-0.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333106-1.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333106-2.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333106-3.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333106-4.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333106-5.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333106-6.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333106-7.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333106-8.jpg']"
Tập 1 – Chương 6: Trở về thời xa xưa,"['https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333107-0.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333107-1.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333107-2.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333107-3.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333107-4.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333107-5.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333107-6.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333107-7.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333107-8.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333107-9.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333107-10.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333107-11.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333107-12.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333107-13.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333107-14.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333107-15.jpg']"
Tập 1 – Chương 7: Cào cào giúp hối cải,"['https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333108-0.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333108-1.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333108-2.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333108-3.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333108-4.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333108-5.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333108-6.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333108-7.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333108-8.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333108-9.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333108-10.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333108-11.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333108-12.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333108-13.jpg']"
Tập 1 – Chương 8: Tổ tiên của chúng mình,"['https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333109-0.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333109-1.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333109-2.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333109-3.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333109-4.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333109-5.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333109-6.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333109-7.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333109-8.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333109-9.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333109-10.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333109-11.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333109-12.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333109-13.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333109-14.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333109-15.jpg']"
Tập 1 – Chương 9: Bóng thay người,"['https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333110-0.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333110-1.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333110-2.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333110-3.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333110-4.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333110-5.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333110-6.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333110-7.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333110-8.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333110-9.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333110-10.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333110-11.jpg']"
Tập 1 – Chương 10: Thỏi son ngọt ngào,"['https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333111-0.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333111-1.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333111-2.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333111-3.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333111-4.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333111-5.jpg', 'https://file.nhasachmienphi.com/jpg/nhasachmienphi-truyen-tranh-doremon-333111-6.jpg']"
